"","country","id"
"1","Bermuda",108
"2","Bahamas",110
"3","Turks and Caicos Islands",111
"4","Cuba",112
"5","Cayman Islands",113
"6","Haiti",114
"7","Dominican Republic",115
"8","Puerto Rico and Virgin Islands of the United States",116
"9","British Virgin Islands",117
"10","Anguilla",118
"11","Saint Kitts and Nevis",119
"12","Antigua and Barbuda",120
"13","Montserrat",121
"14","Saint Lucia",122
"15","Dominica",123
"16","Barbados",124
"17","Grenada",125
"18","Trinidad and Tobago",126
"19","Saint Vincent and the Grenadines",127
"20","Panama",129
"21","Costa Rica",130
"22","Nicaragua",131
"23","Colombia",132
"24","Honduras",133
"25","Mexico",135
"26","Venezuela",139
"27","Guadeloupe and Martinique",140
"28","United States",163
"29","Belize",164
"30","Jamaica",166
"31","Guyana",167
"32","Sint Maarten",220
"33","Northern Saint-Martin",221
"34","Curacao",244
"35","Bonaire",245
"36","Saba",248
"37","Sint Eustatius",249
"38","Aruba",250
"39","DISPUTED",255
"40","Atlantic, Western-Central",263
"41","Bahamas",110
"42","Turks and Caicos Islands",111
"43","Cuba",112
"44","Cayman Islands",113
"45","Haiti",114
"46","Dominican Republic",115
"47","Puerto Rico and Virgin Islands of the United States",116
"48","British Virgin Islands",117
"49","Anguilla",118
"50","Saint Kitts and Nevis",119
"51","Antigua and Barbuda",120
"52","Montserrat",121
"53","Saint Lucia",122
"54","Dominica",123
"55","Barbados",124
"56","Grenada",125
"57","Trinidad and Tobago",126
"58","Saint Vincent and the Grenadines",127
"59","Panama",129
"60","Costa Rica",130
"61","Nicaragua",131
"62","Colombia",132
"63","Honduras",133
"64","Mexico",135
"65","Venezuela",139
"66","Guadeloupe and Martinique",140
"67","United States",163
"68","Jamaica",166
"69","Guyana",167
"70","Sint Maarten",220
"71","Northern Saint-Martin",221
"72","Curacao",244
"73","Bonaire",245
"74","Saba",248
"75","Sint Eustatius",249
"76","Aruba",250
"77","DISPUTED",255
