,zone,sum,X2
9,118,1448,Anguilla
11,120,2273,Antigua and Barbuda
27,250,1100,Aruba
1,110,695,Bahamas
15,124,91,Barbados
24,245,21,Bonaire
8,117,1508,British Virgin Islands
4,113,135,Cayman Islands
3,112,2093,Cuba
23,244,66,Curacao
14,123,270,Dominica
6,115,2429,Dominican Republic
16,125,1385,Grenada
19,140,0,Guadeloupe and Martinique
5,114,2091,Haiti
20,166,5421,Jamaica
12,121,83,Montserrat
22,221,8,Northern Saint-Martin
7,116,2416,Puerto Rico and Virgin Islands of the United States
25,248,1280,Saba
10,119,343,Saint Kitts and Nevis
13,122,331,Saint Lucia
18,127,1615,Saint Vincent and the Grenadines
26,249,77,Sint Eustatius
21,220,20,Sint Maarten
17,126,1463,Trinidad and Tobago
2,111,1468,Turks and Caicos Islands
