"","Island.Country.EEZ","political_score","economic_score","risk_score"
"1","Anguilla",0.845247148288973,2.64648125926449,1.74586420377673
"2","Antigua and Barbuda ",1.39277566539924,3.14969294840121,2.27123430690023
"3","Aruba",0.0999999999999996,2.29185430931037,1.19592715465518
"4","Bahamas",1.81863117870722,2.60554104609303,2.21208611240013
"5","Barbados ",1.42319391634981,3.07910637396767,2.25115014515874
"6","Bonaire",NA,2.6734453306981,NA
"7","British Virgin Islands ",NA,1.9760499752947,NA
"8","Cayman Islands",0.951711026615969,0.0999999999999996,0.525855513307985
"9","Cuba",4.1,3.59608244511894,3.84804122255947
"10","Curaí_",NA,2.75327874638244,NA
"11","Dominica",1.80342205323194,3.65537516764311,2.72939861043753
"12","Dominican Republic ",2.25969581749049,3.70485635632103,2.98227608690576
"13","Grenada",2.18365019011407,3.5480129879297,2.86583158902188
"14","Guadeloupe",NA,2.61838780263994,NA
"15","Haiti",3.96311787072243,4.1,4.03155893536122
"16","Jamaica",2.03155893536122,3.80671278322863,2.91913585929492
"17","Martinque",0.297718631178707,2.45335639161431,1.37553751139651
"18","Montserrat",NA,3.27999576480553,NA
"19","Puerto Rico",0.708365019011406,3.03343686030917,1.87090093966029
"20","Saba",NA,2.48992023717089,NA
"21","Saint Kitts and Nevis",1.94030418250951,3.05143643678972,2.49587030964961
"22","Saint Lucia ",1.77300380228137,3.60794098962377,2.69047239595257
"23","Saint Vincent and the Grenadines",NA,3.68622150067057,NA
"24","Saint-Barthelemy",NA,2.20051528199336,NA
"25","Saint-Martin ",NA,2.79344250723512,NA
"26","Sint- Eustatius",NA,2.29227782875697,NA
"27","Sint-Maarten",NA,2.19423307686878,NA
"28","Trinidad and Tobago ",1.97072243346008,2.62417590174349,2.29744916760178
"29","Turks and Caicos",NA,2.49048492976636,NA
"30","Virgin Islands",1.39277566539924,1.60758805675161,1.50018186107542
